Data.point,TN.g.kg,control.N.kgN.ha,control.mean.kg.ha.day,control.sd.kg.ha.day,yield.control.Mg.ha,yield.control.sd.Mg.ha,treat.N.kgN.ha,AddNF.rates.pct,treat.mean.kg.ha.day,treat.sd.kg.ha.day,yield.treat.Mg.ha,yield.treat.sd.Mg.ha
1,1.28,150,0.033339623,0.021054307,6.68781362,NA,210,40,0.03290566,0.020830711,7.744086022,NA
2,1.28,150,0.033339623,0.021054307,6.68781362,NA,300,100,0.035056604,0.02527378,7.789247312,NA
3,2.75,75,1.133849558,0.061455261,6.828965517,0.371065247,150,100,1.00479351,0.218166175,7.614252874,0.444172912
4,2.75,75,1.133849558,0.061455261,6.828965517,0.371065247,225,200,0.866519174,0.067600787,8.586206897,0.139248877
5,2.75,75,1.133849558,0.061455261,6.828965517,0.371065247,300,300,0.562315634,0.046091445,8.747126437,0.162233714
6,2.75,75,1.133849558,0.061455261,6.828965517,0.371065247,375,400,0.894174041,0.150565388,8.862988506,0.530975963
7,2.05,75,1.010939036,0.205875123,8.544367816,0.182514259,150,100,0.841049383,0.056584362,8.782528736,0.338114893
8,2.05,75,1.010939036,0.205875123,8.544367816,0.182514259,225,200,0.866769547,0.028292181,9.210574713,0.26518056
9,2.05,75,1.010939036,0.205875123,8.544367816,0.182514259,300,300,0.614711934,0.066872428,9.323218391,0.599269207
10,2.05,75,1.010939036,0.205875123,8.544367816,0.182514259,375,400,0.689300412,0.072016461,9.036781609,0.082116281
11,1.3,180,2.860040568,0.456389452,7.25,0.1273,225,25,3.037525355,0.273833671,7.6111,0.1111
12,1.3,180,2.61663286,0.197768763,8.3767,0.1896,225,25,2.712981744,0.456389452,8.6703,0.1111
13,1.2,95,1.087647261,0.618889351,7.44,0.35,190,100,1.239339288,0.82755976,6.97,0.24
14,1.45,125,1.923197336,0.544905912,14.51388889,0.625,250,100,2.190308077,0.555590341,15.13888889,0.486111111
15,1.45,125,0.739691283,0.246563761,13.75,0.833333333,250,100,0.811605713,0.164375841,14.65277778,0.625
16,1.6,150,0.683306547,0.134590683,16.9,0.75,250,66.66666667,0.579775252,0.227768849,17.22,0.64
17,1.6,150,1.325037534,0.273420444,16.47,1.28,250,66.66666667,1.188327313,0.147226393,17.65,1.28
18,0.8,150,0.629145134,0.05518817,17.48,1.25,250,66.66666667,0.518768795,0.022075268,20.7,1.6
19,0.8,150,0.189291076,0.010516171,11.36,1.16,250,66.66666667,0.326001298,0.073613196,14.23,1.66
20,3.1,150,1.263081799,0.041412518,14.79,0.91,250,66.66666667,1.24237554,0.124237554,13.3,1.24
21,3.1,150,1.549242298,0.096159867,10.51,0.69,250,66.66666667,1.463766861,0.128213156,12.34,1.69
22,3,50,0.004414217,0.000206726,NA,NA,100,100,0.004341255,0.000486415,NA,NA
23,1.35,125,3.610169492,0.177966102,7.269,0.4,250,100,3.211864407,0.13559322,8.018,0.187
24,1.35,125,2.283018868,0.066037736,8.366,0.364,250,100,2.471698113,0.056603774,8.863,0.582
25,0.78,60,0.305672247,0.264534018,NA,NA,150,150,0.324249013,0.2951683,NA,NA
26,0.78,60,0.305672247,0.264534018,NA,NA,250,316.6666667,0.374912921,0.331546046,NA,NA
27,2.24,60,0.54717021,0.464856505,NA,NA,150,150,0.553925397,0.48246678,NA,NA
28,2.24,60,0.54717021,0.464856505,NA,NA,250,316.6666667,0.579257352,0.543411585,NA,NA
29,1.09,120,1.033658537,0.140487805,6.97,0.28,150,25,1.50195122,0.288292683,7.61,0.3
30,1.09,120,1.033658537,0.140487805,6.97,0.28,180,50,1.544390244,0.424390244,8.64,0.42
31,1.09,120,0.630593607,0.226027397,7.95,0.58,150,25,1.020091324,0.213242009,9.54,0.24
32,1.09,120,0.630593607,0.226027397,7.95,0.58,180,50,0.991324201,0.070776256,9.82,0.32
33,1.09,120,1.414953271,0.298598131,8.16,0.31,150,25,1.540654206,0.324766355,9.73,0.13
34,1.09,120,1.414953271,0.298598131,8.16,0.31,180,50,1.602336449,0.293925234,9.48,0.18
35,1.09,120,0.987317073,0.474146341,7.66,0.14,150,25,1.373658537,0.88195122,8.28,0.62
36,1.09,120,0.987317073,0.474146341,7.66,0.14,180,50,1.30195122,0.73804878,9.29,0.54
37,1.09,120,1.07716895,0.305936073,9.99,0.12,150,25,1.507762557,0.140639269,11.6,0.45
38,1.09,120,1.102336449,0.313084112,9.99,0.12,180,50,1.603738318,0.213551402,10.56,0.12
39,1.09,120,1.738317757,0.224766355,9.67,0.34,150,25,1.758411215,0.328971963,9.78,0.48
40,1.09,120,1.738317757,0.224766355,9.67,0.34,180,50,1.843925234,0.297196262,10.67,0.56
41,2.65,90,0.142857143,NA,6.517,NA,180,100,0.112380952,NA,6.627,NA
42,2.65,90,0.142857143,NA,6.517,NA,270,200,0.111428571,NA,6.393,NA
43,2.65,90,0.316190476,NA,6.647,NA,180,100,0.267619048,NA,6.915,NA
44,2.65,90,0.316190476,NA,6.647,NA,270,200,0.279047619,NA,6.77,NA
45,2.65,90,0.232380952,NA,6.513,NA,180,100,0.199047619,NA,6.736,NA
46,2.65,90,0.232380952,NA,6.513,NA,270,200,0.183809524,NA,6.361,NA
47,2.65,90,0.34,NA,6.781,NA,180,100,0.301904762,NA,7.14,NA
48,2.65,90,0.34,NA,6.781,NA,270,200,0.280952381,NA,6.907,NA
49,2.65,90,0.186666667,NA,6.136,NA,180,100,0.2,NA,6.611,NA
50,2.65,90,0.186666667,NA,6.136,NA,270,200,0.182857143,NA,6.534,NA
51,2.65,90,0.142857143,NA,6.352,NA,180,100,0.112380952,NA,6.896,NA
52,2.65,90,0.142857143,NA,6.352,NA,270,200,0.111428571,NA,6.818,NA
53,0.9,117,1.14,NA,7.36,NA,171,46.15384615,0.74,NA,8.36,NA
54,0.9,120,0.9,NA,8.36,NA,180,50,0.64,NA,9.26,NA
55,0.9,120,1.84,NA,6.54,NA,180,50,2.05,NA,6.45,NA
56,0.9,120,1.66,NA,6.4,NA,180,50,1.31,NA,6.34,NA
57,0.9,120,5.03,NA,3.3,NA,180,50,5.16,NA,3.36,NA
58,1.3,200,0.1752,0.1584,7.42,0.27,270,35,0.2544,0.0936,7.69,0.46
59,1.3,200,0.3072,0.2808,7.18,0.31,270,35,0.3864,0.2376,7.24,0.48
60,1.3,200,0.5304,0.2736,7.04,0.45,270,35,0.6432,0.2016,6.68,0.5
61,1.98,120,2.517936508,0.73015873,7.079,0.645,180,50,2.284126984,0.095238095,7.655,0.601
62,1.98,120,2.517936508,0.73015873,7.079,0.645,240,100,2.168809524,0.285714286,8.273,0.569
63,1.98,120,2.517936508,0.73015873,7.079,0.645,300,150,2.421666667,0.714285714,8.029,0.101
64,1.98,120,2.793333333,0.222222222,7.598,1.077,180,50,2.311507937,0.142857143,7.768,0.57
65,1.98,120,2.793333333,0.222222222,7.598,1.077,240,100,2.521031746,0.222222222,8.88,0.435
66,1.98,120,2.793333333,0.222222222,7.598,1.077,300,150,2.728571429,0.484126984,8.761,0.369
67,1.16,100,0.7368,0.383909989,5.9986,0.4985,300,200,0.6848,0.23217235,7.0904,0.5395
68,3.19,45,0.763106796,NA,5.14,NA,135,200,0.12038835,NA,6.82,NA
69,3.19,45,0.763106796,NA,5.14,NA,90,100,0.73592233,NA,6.46,NA
70,3.19,90,0.569902913,NA,6.46,NA,135,50,0.397087379,NA,6.82,NA
71,1.4,80,1.305874734,NA,4.3,NA,140,75,1.187158849,NA,12,NA
72,1.4,80,1.305874734,NA,4.3,NA,200,150,1.21683782,NA,13.1,NA
73,1.4,80,1.305874734,NA,4.3,NA,260,225,1.023924507,NA,13.1,NA
74,1.4,80,1.83161651,NA,4.7,NA,140,75,1.984251219,NA,11.7,NA
75,1.4,80,1.83161651,NA,4.7,NA,200,150,2.035129456,NA,13.1,NA
76,1.4,80,1.83161651,NA,4.7,NA,260,225,1.768018715,NA,12,NA
77,1.1,55,9.869221536,NA,NA,NA,110,100,12.00263849,NA,NA,NA
78,0.8,55,9.404524008,NA,NA,NA,110,100,12.53936534,NA,NA,NA
79,1.45,150,1.185931523,0.060250543,5.3,NA,250,66.66666667,0.726019044,0.2440147,5.7,NA
80,1.45,150,0.983725005,0.160465781,4.8,NA,250,66.66666667,0.737544583,0.07973455,7,NA
81,1.45,150,1.24186561,0.348838654,5.6,NA,250,66.66666667,0.752494812,0.235216921,7.1,NA
82,2.05,75,0.254928895,NA,7.04,NA,150,100,0.270442793,NA,8.66,NA
83,2.05,75,0.254928895,NA,7.04,NA,225,200,0.312782805,NA,9.35,NA
84,2.05,75,0.254928895,NA,7.04,NA,300,300,0.284987072,NA,9.6,NA
85,2.05,75,0.254928895,NA,7.04,NA,375,400,0.257029735,NA,9.01,NA
86,2.1,75,6.3,NA,4.98,0.21,150,100,2.326666667,NA,9.93,0.57
87,2.1,75,6.3,NA,4.98,0.21,225,200,2.562666667,NA,9.53,0.73
88,2.1,75,5.124,NA,4.65,0.13,150,100,2.3,NA,8.25,0.68
89,2.1,75,5.124,NA,4.65,0.13,225,200,2.432,NA,7.92,0.07
90,2.1,75,5.838202247,NA,4.98,0.21,150,100,3.613483146,NA,9.93,0.57
91,2.1,75,5.838202247,NA,4.98,0.21,225,200,3.393258427,NA,9.53,0.73
92,2.1,75,5.684269663,NA,4.65,0.13,150,100,2.930337079,NA,8.25,0.68
93,2.1,75,5.684269663,NA,4.65,0.13,225,200,3.437078652,NA,7.92,0.07
94,1.5,100,2.3,NA,NA,NA,200,100,2.3,NA,NA,NA
95,1.5,50,1.8,NA,NA,NA,100,100,2.1,NA,NA,NA
96,1.59,150,0.691678246,NA,16.68235294,NA,250,66.66666667,0.529566157,NA,16.54117647,NA
97,1.59,150,1.210436931,NA,18.04705882,NA,250,66.66666667,1.599505944,NA,18.8,NA
98,1.59,150,1.271626298,NA,14.32941176,NA,250,66.66666667,1.130334487,NA,14.89411765,NA
99,1.59,150,1.645040369,NA,15.92941176,NA,250,66.66666667,1.988177624,NA,17.43529412,NA
100,1.45,150,1.939784051,0.102320647,5.140186916,NA,250,66.66666667,2.225204802,0.583766216,6.074766355,NA
101,1.45,150,1.383550167,0.268154142,6.355140187,NA,250,66.66666667,0.754379163,0.253546524,5.514018692,NA
102,1.45,150,1.120613031,0.17216122,4.76635514,NA,250,66.66666667,0.772116986,0.084515508,6.91588785,NA
103,1.45,150,1.32071422,0.495002842,6.728971963,NA,250,66.66666667,1.002725242,0.41656556,7.289719626,NA
104,1.2,150,4.898311359,0.394901132,6.39,0.61,250,66.66666667,5.343175651,0.302661451,6.98,0.77
105,1.2,150,5.492222665,0.747135841,6.91,0.51,250,66.66666667,5.053812644,0.178073827,8.75,0.55
106,1.1,150,1.441666667,0.075,NA,NA,300,100,0.608333333,0.008333333,NA,NA
107,1.1,150,1.441666667,0.075,NA,NA,450,200,0.35,0.008333333,NA,NA
108,0.65,45,3.113391984,0.395169678,5.2,NA,90,100,3.563049853,0.382076663,5.9,NA
109,0.65,45,3.113391984,0.395169678,5.2,NA,180,300,4.012707722,0.622491152,5.4,NA
110,0.65,45,2.567226891,0.495673678,5.4,NA,90,100,2.831932773,0.107204629,6.7,NA
111,0.65,45,2.567226891,0.495673678,5.4,NA,180,300,3.18907563,0.365401304,5.8,NA
112,1.11,90,0.921984127,NA,5.62,NA,135,50,1.311031746,NA,7.21,NA
113,1.11,90,0.921984127,NA,5.62,NA,180,100,1.493253968,NA,8.5,NA
114,1.32,90,0.950823529,NA,6.76,NA,135,50,0.389436134,NA,8.36,NA
115,1.32,90,0.950823529,NA,6.76,NA,180,100,0.382077311,NA,9.45,NA
116,1.13,90,0.443043256,NA,6.76,NA,135,50,0.495028062,NA,8.71,NA
117,1.13,90,0.443043256,NA,6.76,NA,180,100,0.428284806,NA,9.4,NA
118,1.001,90,0.284552846,NA,2.89,NA,135,50,0.447154472,NA,7.14,NA
119,1.001,90,0.284552846,NA,2.89,NA,180,100,0.528455285,NA,5.14,NA
120,0.75,90,0.390243902,NA,5.5,NA,135,50,0.430894309,NA,7.21,NA
121,0.75,90,0.390243902,NA,5.5,NA,180,100,0.504065041,NA,7.35,NA
122,0.71,90,0.866141732,NA,2.94,NA,135,50,0.377952756,NA,5.12,NA
123,0.71,90,0.866141732,NA,2.94,NA,180,100,0.330708661,NA,6.21,NA
124,1.32,90,0.117197452,NA,8.2,NA,135,50,0.228025478,NA,11.2,NA
125,1.32,90,0.117197452,NA,8.2,NA,180,100,0.220382166,NA,9.9,NA
126,0.71,90,0.142635659,NA,2.84,NA,135,50,0.264341085,NA,4.3,NA
127,0.71,90,0.142635659,NA,2.84,NA,180,100,0.282945736,NA,5.31,NA
128,0.81,90,0.430075188,NA,2.67,NA,135,50,0.480451128,NA,3.71,NA
129,0.81,90,0.430075188,NA,2.67,NA,180,100,0.415037594,NA,4.11,NA
